# time(s)	u_left	u_right	x_opt	y_opt
5.440000	5.564935	5.564934	2.715289	1.092691
5.472000	5.564935	5.564934	2.731237	1.099557
5.504000	5.564935	5.564934	2.747184	1.106423
5.536000	5.564935	5.564933	2.763131	1.113289
5.568000	5.564936	5.564933	2.779079	1.120155
5.600000	5.564936	5.564933	2.795026	1.127021
5.632000	5.564936	5.564933	2.810973	1.133887
5.664000	5.564936	5.564933	2.826921	1.140753
5.696000	5.564936	5.564933	2.842868	1.147619
5.728000	5.564936	5.564932	2.858815	1.154485
5.760000	5.564937	5.564932	2.874763	1.161351
5.792000	5.564937	5.564932	2.890710	1.168217
5.824000	5.564937	5.564932	2.906657	1.175083
5.856000	5.564938	5.564931	2.922605	1.181949
5.888000	5.564938	5.564931	2.938552	1.188814
5.920000	5.564938	5.564931	2.954500	1.195680
5.952000	5.564939	5.564930	2.970447	1.202546
5.984000	5.564939	5.564930	2.986394	1.209412
6.016000	5.564940	5.564929	3.002342	1.216278
6.048000	5.564940	5.564928	3.018289	1.223144
6.080000	5.564941	5.564928	3.034236	1.230010
6.112000	5.564942	5.564927	3.050184	1.236876
6.144000	5.564943	5.564926	3.066131	1.243742
6.176000	5.564944	5.564925	3.082078	1.250608
6.208000	5.564945	5.564924	3.098026	1.257474
6.240000	5.564946	5.564923	3.113973	1.264340
6.272000	5.564947	5.564922	3.129920	1.271206
6.304000	5.564948	5.564920	3.145868	1.278072
6.336000	5.564950	5.564919	3.161815	1.284938
6.368000	5.564952	5.564917	3.177763	1.291804
6.400000	5.564954	5.564915	3.193710	1.298670
6.432000	5.564956	5.564913	3.209657	1.305536
6.464000	5.564958	5.564911	3.225605	1.312402
6.496000	5.564961	5.564908	3.241552	1.319268
6.528000	5.564964	5.564905	3.257499	1.326134
6.560000	5.564967	5.564902	3.273447	1.332999
6.592000	5.564971	5.564898	3.289394	1.339865
6.624000	5.564975	5.564894	3.305342	1.346731
6.656000	5.564979	5.564890	3.321289	1.353597
6.688000	5.564984	5.564885	3.337236	1.360463
6.720000	5.564989	5.564879	3.353184	1.367329
6.752000	5.564995	5.564873	3.369131	1.374195
6.784000	5.565002	5.564867	3.385079	1.381060
6.816000	5.565010	5.564859	3.401026	1.387926
6.848000	5.565018	5.564851	3.416974	1.394792
6.880000	5.565027	5.564842	3.432921	1.401658
6.912000	5.565038	5.564831	3.448868	1.408523
6.944000	5.565049	5.564820	3.464816	1.415389
6.976000	5.565062	5.564807	3.480763	1.422255
7.008000	5.565076	5.564793	3.496711	1.429120
7.040000	5.565091	5.564777	3.512659	1.435986
7.072000	5.565109	5.564760	3.528606	1.442851
7.104000	5.565128	5.564741	3.544554	1.449717
7.136000	5.565150	5.564719	3.560501	1.456582
7.168000	5.565173	5.564695	3.576449	1.463448
7.200000	5.565200	5.564669	3.592397	1.470313
7.232000	5.565229	5.564639	3.608344	1.477178
7.264000	5.565262	5.564607	3.624292	1.484043
7.296000	5.565298	5.564571	3.640240	1.490908
7.328000	5.565338	5.564530	3.656188	1.497773
7.360000	5.565383	5.564486	3.672135	1.504638
7.392000	5.565433	5.564436	3.688083	1.511502
7.424000	5.565488	5.564381	3.704031	1.518367
7.456000	5.565549	5.564319	3.719979	1.525231
7.488000	5.565617	5.564251	3.735928	1.532095
7.520000	5.565693	5.564176	3.751876	1.538959
7.552000	5.565777	5.564092	3.767824	1.545823
7.584000	5.565870	5.563998	3.783773	1.552686
7.616000	5.565974	5.563895	3.799721	1.559550
7.648000	5.566089	5.563779	3.815670	1.566412
7.680000	5.566217	5.563652	3.831619	1.573275
7.712000	5.566359	5.563510	3.847568	1.580137
7.744000	5.566517	5.563352	3.863517	1.586999
7.776000	5.566692	5.563176	3.879466	1.593860
7.808000	5.566886	5.562982	3.895416	1.600720
7.840000	5.567102	5.562766	3.911366	1.607581
7.872000	5.567342	5.562525	3.927316	1.614440
7.904000	5.567609	5.562259	3.943267	1.621299
7.936000	5.567905	5.561962	3.959217	1.628157
7.968000	5.568234	5.561633	3.975169	1.635014
8.000000	5.568599	5.561268	3.991120	1.641870
8.032000	5.569004	5.560861	4.007072	1.648725
8.064000	5.569455	5.560410	4.023025	1.655578
8.096000	5.569955	5.559909	4.038978	1.662430
8.128000	5.570510	5.559353	4.054932	1.669281
8.160000	5.571127	5.558734	4.070887	1.676130
8.192000	5.571813	5.558047	4.086842	1.682978
8.224000	5.572574	5.557284	4.102798	1.689823
8.256000	5.573419	5.556437	4.118756	1.696666
8.288000	5.574358	5.555495	4.134714	1.703506
8.320000	5.575400	5.554449	4.150674	1.710343
8.352000	5.576557	5.553287	4.166634	1.717178
8.384000	5.577843	5.551996	4.182597	1.724008
8.416000	5.579270	5.550561	4.198561	1.730835
8.448000	5.580855	5.548968	4.214527	1.737658
8.480000	5.582615	5.547197	4.230495	1.744475
8.512000	5.584569	5.545230	4.246465	1.751288
8.544000	5.586739	5.543044	4.262438	1.758094
8.576000	5.589147	5.540615	4.278413	1.764894
8.608000	5.591822	5.537916	4.294392	1.771686
8.640000	5.594790	5.534917	4.310374	1.778471
8.672000	5.598086	5.531583	4.326360	1.785246
8.704000	5.601744	5.527879	4.342350	1.792011
8.736000	5.605805	5.523761	4.358344	1.798765
8.768000	5.610311	5.519184	4.374344	1.805507
8.800000	5.615312	5.514096	4.390350	1.812234
8.832000	5.620861	5.508439	4.406361	1.818947
8.864000	5.627018	5.502150	4.422380	1.825642
8.896000	5.633848	5.495156	4.438407	1.832318
8.928000	5.641424	5.487378	4.454441	1.838973
8.960000	5.649826	5.478727	4.470486	1.845605
8.992000	5.659143	5.469102	4.486540	1.852210
9.024000	5.669472	5.458394	4.502606	1.858787
9.056000	5.680921	5.446478	4.518684	1.865331
9.088000	5.693607	5.433214	4.534776	1.871839
9.120000	5.707662	5.418448	4.550884	1.878307
9.152000	5.723227	5.402005	4.567007	1.884731
9.184000	5.740459	5.383689	4.583149	1.891105
9.216000	5.759529	5.363283	4.599310	1.897424
9.248000	5.780624	5.340540	4.615492	1.903681
9.280000	5.803947	5.315183	4.631698	1.909870
9.312000	5.829720	5.286903	4.647929	1.915983
9.344000	5.858181	5.255349	4.664187	1.922011
9.376000	5.889587	5.220127	4.680474	1.927945
9.408000	5.924216	5.180794	4.696792	1.933773
9.440000	5.962361	5.136847	4.713142	1.939484
9.472000	6.004335	5.087721	4.729527	1.945063
9.504000	6.050465	5.032773	4.745948	1.950497
9.536000	6.101089	4.971280	4.762406	1.955767
9.568000	6.156552	4.902420	4.778901	1.960856
9.600000	6.217196	4.825266	4.795433	1.965743
9.632000	6.278938	4.738802	4.811996	1.970403
9.664000	6.279981	4.642526	4.828534	1.974800
9.696000	6.279991	4.536184	4.844986	1.978904
9.728000	6.279994	4.419158	4.861333	1.982697
9.760000	6.279996	4.290766	4.877557	1.986162
9.792000	6.279997	4.150269	4.893637	1.989282
9.824000	6.279997	3.996867	4.909551	1.992039
9.856000	6.279998	3.829700	4.925273	1.994416
9.888000	6.279998	3.647849	4.940775	1.996394
9.920000	6.279998	3.450334	4.956028	1.997956
9.952000	6.279999	3.236115	4.970996	1.999087
9.984000	6.279999	3.004102	4.985642	1.999771
10.016000	6.279997	2.847922	5.000000	2.000000
