# time(s)	left	right
6.666667	4.711219	4.711409	3.445909	1.244759	0.363032
6.767677	4.711181	4.711448	3.497960	1.264531	0.363041
6.868687	4.711127	4.711502	3.550009	1.284304	0.363052
6.969697	4.711051	4.711577	3.602059	1.304078	0.363068
7.070707	4.710945	4.711684	3.654108	1.323852	0.363091
7.171717	4.710796	4.711833	3.706157	1.343629	0.363122
7.272727	4.710586	4.712043	3.758205	1.363407	0.363167
7.373737	4.710291	4.712337	3.810252	1.383188	0.363229
7.474747	4.709877	4.712751	3.862298	1.402972	0.363317
7.575758	4.709296	4.713332	3.914341	1.422763	0.363441
7.676768	4.708479	4.714148	3.966382	1.442561	0.363614
7.777778	4.707332	4.715293	4.018418	1.462370	0.363857
7.878788	4.705721	4.716901	4.070448	1.482194	0.364199
7.979798	4.703456	4.719159	4.122471	1.502039	0.364679
8.080808	4.700275	4.722328	4.174482	1.521914	0.365353
8.181818	4.695802	4.726776	4.226476	1.541832	0.366299
8.282828	4.689513	4.733015	4.278448	1.561809	0.367629
8.383838	4.680667	4.741763	4.330387	1.581868	0.369496
8.484848	4.668216	4.754022	4.382280	1.602044	0.372119
8.585859	4.650674	4.771184	4.434108	1.622382	0.375802
8.686869	4.625932	4.795177	4.485842	1.642949	0.380975
8.787879	4.590976	4.828655	4.537441	1.663834	0.388239
8.888889	4.541480	4.875236	4.588843	1.685164	0.398441
8.989899	4.471188	4.939781	4.639956	1.707113	0.412764
9.090909	4.370978	5.028667	4.690636	1.729916	0.432871
9.191919	4.227425	5.149929	4.740659	1.753893	0.461081
9.292929	4.020617	5.312939	4.789664	1.779455	0.500621
9.393939	3.720941	5.526885	4.837064	1.807110	0.555932
9.494949	3.284804	5.796456	4.881905	1.837402	0.633010
9.595960	2.650499	6.111702	4.922662	1.870724	0.739639
9.696970	1.755355	6.260000	4.956841	1.906454	0.881847
9.797980	0.560139	6.260000	4.981676	1.942352	1.064021
9.898990	-0.957638	6.260000	4.995728	1.975042	1.294627
10.000000	-2.453098	5.798996	5.000000	2.000000	1.570796
