# time(s)	left	right
2.732733	4.870732	4.869924
2.742743	4.870764	4.869892
2.752753	4.870797	4.869859
2.762763	4.870830	4.869826
2.772773	4.870863	4.869792
2.782783	4.870898	4.869758
2.792793	4.870933	4.869723
2.802803	4.870969	4.869687
2.812813	4.871005	4.869650
2.822823	4.871043	4.869613
2.832833	4.871081	4.869575
2.842843	4.871120	4.869536
2.852853	4.871160	4.869495
2.862863	4.871201	4.869454
2.872873	4.871243	4.869412
2.882883	4.871286	4.869369
2.892893	4.871331	4.869325
2.902903	4.871376	4.869279
2.912913	4.871423	4.869233
2.922923	4.871471	4.869184
2.932933	4.871520	4.869135
2.942943	4.871571	4.869084
2.952953	4.871623	4.869032
2.962963	4.871677	4.868978
2.972973	4.871733	4.868923
2.982983	4.871790	4.868865
2.992993	4.871849	4.868807
3.003003	4.871909	4.868746
3.013013	4.871972	4.868683
3.023023	4.872036	4.868619
3.033033	4.872103	4.868552
3.043043	4.872171	4.868484
3.053053	4.872242	4.868413
3.063063	4.872315	4.868340
3.073073	4.872391	4.868264
3.083083	4.872469	4.868186
3.093093	4.872549	4.868106
3.103103	4.872632	4.868023
3.113113	4.872718	4.867937
3.123123	4.872807	4.867848
3.133133	4.872898	4.867756
3.143143	4.872993	4.867662
3.153153	4.873091	4.867564
3.163163	4.873192	4.867462
3.173173	4.873296	4.867358
3.183183	4.873404	4.867250
3.193193	4.873516	4.867138
3.203203	4.873631	4.867022
3.213213	4.873750	4.866903
3.223223	4.873874	4.866779
3.233233	4.874001	4.866651
3.243243	4.874133	4.866519
3.253253	4.874270	4.866383
3.263263	4.874411	4.866241
3.273273	4.874557	4.866095
3.283283	4.874708	4.865944
3.293293	4.874864	4.865787
3.303303	4.875026	4.865625
3.313313	4.875193	4.865458
3.323323	4.875366	4.865284
3.333333	4.875545	4.865105
3.343343	4.875730	4.864919
3.353353	4.875922	4.864727
3.363363	4.876120	4.864529
3.373373	4.876325	4.864323
3.383383	4.876537	4.864111
3.393393	4.876757	4.863890
3.403403	4.876984	4.863663
3.413413	4.877219	4.863427
3.423423	4.877462	4.863183
3.433433	4.877714	4.862931
3.443443	4.877974	4.862669
3.453453	4.878244	4.862399
3.463463	4.878523	4.862119
3.473473	4.878811	4.861830
3.483483	4.879110	4.861530
3.493493	4.879419	4.861220
3.503504	4.879739	4.860899
3.513514	4.880070	4.860567
3.523524	4.880412	4.860223
3.533534	4.880767	4.859867
3.543544	4.881133	4.859498
3.553554	4.881513	4.859117
3.563564	4.881906	4.858722
3.573574	4.882312	4.858314
3.583584	4.882733	4.857891
3.593594	4.883169	4.857453
3.603604	4.883619	4.857000
3.613614	4.884085	4.856531
3.623624	4.884568	4.856046
3.633634	4.885068	4.855543
3.643644	4.885584	4.855023
3.653654	4.886119	4.854485
3.663664	4.886673	4.853928
3.673674	4.887246	4.853351
3.683684	4.887839	4.852754
3.693694	4.888453	4.852135
3.703704	4.889088	4.851496
3.713714	4.889745	4.850833
3.723724	4.890425	4.850148
3.733734	4.891129	4.849438
3.743744	4.891857	4.848703
3.753754	4.892611	4.847942
3.763764	4.893391	4.847155
3.773774	4.894198	4.846340
3.783784	4.895034	4.845496
3.793794	4.895899	4.844622
3.803804	4.896793	4.843718
3.813814	4.897719	4.842782
3.823824	4.898677	4.841812
3.833834	4.899669	4.840809
3.843844	4.900695	4.839770
3.853854	4.901757	4.838695
3.863864	4.902856	4.837581
3.873874	4.903993	4.836428
3.883884	4.905170	4.835235
3.893894	4.906387	4.833999
3.903904	4.907647	4.832720
3.913914	4.908951	4.831396
3.923924	4.910300	4.830025
3.933934	4.911696	4.828605
3.943944	4.913141	4.827135
3.953954	4.914636	4.825613
3.963964	4.916182	4.824038
3.973974	4.917783	4.822406
3.983984	4.919439	4.820717
3.993994	4.921152	4.818968
4.004004	4.922925	4.817157
4.014014	4.924759	4.815281
4.024024	4.926657	4.813340
4.034034	4.928620	4.811329
4.044044	4.930652	4.809247
4.054054	4.932754	4.807091
4.064064	4.934928	4.804859
4.074074	4.937178	4.802547
4.084084	4.939505	4.800154
4.094094	4.941913	4.797675
4.104104	4.944404	4.795107
4.114114	4.946981	4.792449
4.124124	4.949647	4.789696
4.134134	4.952404	4.786844
4.144144	4.955257	4.783891
4.154154	4.958208	4.780833
4.164164	4.961260	4.777666
4.174174	4.964417	4.774385
4.184184	4.967682	4.770987
4.194194	4.971060	4.767468
4.204204	4.974553	4.763823
4.214214	4.978166	4.760047
4.224224	4.981903	4.756136
4.234234	4.985767	4.752085
4.244244	4.989763	4.747889
4.254254	4.993896	4.743542
4.264264	4.998170	4.739038
4.274274	5.002589	4.734373
4.284284	5.007159	4.729540
4.294294	5.011883	4.724533
4.304304	5.016769	4.719345
4.314314	5.021819	4.713971
4.324324	5.027041	4.708402
4.334334	5.032439	4.702631
4.344344	5.038020	4.696653
4.354354	5.043788	4.690457
4.364364	5.049751	4.684037
4.374374	5.055914	4.677384
4.384384	5.062284	4.670489
4.394394	5.068867	4.663344
4.404404	5.075670	4.655939
4.414414	5.082700	4.648263
4.424424	5.089964	4.640308
4.434434	5.097469	4.632061
4.444444	5.105224	4.623514
4.454454	5.113234	4.614653
4.464464	5.121510	4.605467
4.474474	5.130057	4.595944
4.484484	5.138885	4.586071
4.494494	5.148003	4.575834
4.504505	5.157418	4.565220
4.514515	5.167139	4.554213
4.524525	5.177176	4.542800
4.534535	5.187538	4.530964
4.544545	5.198234	4.518690
4.554555	5.209273	4.505959
4.564565	5.220665	4.492754
4.574575	5.232421	4.479058
4.584585	5.244550	4.464850
4.594595	5.257062	4.450111
4.604605	5.269968	4.434820
4.614615	5.283278	4.418955
4.624625	5.297002	4.402494
4.634635	5.311152	4.385413
4.644645	5.325738	4.367689
4.654655	5.340770	4.349294
4.664665	5.356260	4.330204
4.674675	5.372218	4.310390
4.684685	5.388655	4.289823
4.694695	5.405582	4.268474
4.704705	5.423010	4.246310
4.714715	5.440948	4.223301
4.724725	5.459408	4.199411
4.734735	5.478398	4.174606
4.744745	5.497931	4.148848
4.754755	5.518014	4.122100
4.764765	5.538656	4.094322
4.774775	5.559868	4.065471
4.784785	5.581656	4.035505
4.794795	5.604028	4.004379
4.804805	5.626991	3.972046
4.814815	5.638865	3.954594
4.824825	5.632640	3.974089
4.834835	5.610134	4.005817
4.844845	5.587690	4.037066
4.854855	5.565831	4.067148
4.864865	5.544552	4.096110
4.874875	5.523843	4.123995
4.884885	5.503696	4.150844
4.894895	5.484101	4.176698
4.904905	5.465050	4.201595
4.914915	5.446532	4.225573
4.924925	5.428537	4.248666
4.934935	5.411055	4.270908
4.944945	5.394076	4.292333
4.954955	5.377587	4.312972
4.964965	5.361580	4.332855
4.974975	5.346043	4.352011
4.984985	5.330965	4.370468
4.994995	5.316335	4.388252
5.005005	5.302143	4.405389
5.015015	5.288378	4.421904
5.025025	5.275029	4.437820
5.035035	5.262085	4.453160
5.045045	5.249537	4.467946
5.055055	5.237374	4.482198
5.065065	5.225585	4.495936
5.075075	5.214160	4.509181
5.085085	5.203090	4.521950
5.095095	5.192366	4.534260
5.105105	5.181976	4.546131
5.115115	5.171912	4.557576
5.125125	5.162165	4.568613
5.135135	5.152726	4.579257
5.145145	5.143586	4.589521
5.155155	5.134735	4.599421
5.165165	5.126167	4.608969
5.175175	5.117872	4.618178
5.185185	5.109842	4.627061
5.195195	5.102070	4.635630
5.205205	5.094547	4.643896
5.215215	5.087267	4.651870
5.225225	5.080222	4.659563
5.235235	5.073405	4.666985
5.245245	5.066808	4.674145
5.255255	5.060426	4.681054
5.265265	5.054251	4.687721
5.275275	5.048277	4.694153
5.285285	5.042498	4.700361
5.295295	5.036908	4.706350
5.305305	5.031501	4.712130
5.315315	5.026271	4.717709
5.325325	5.021213	4.723092
5.335335	5.016321	4.728287
5.345345	5.011590	4.733301
5.355355	5.007015	4.738140
5.365365	5.002591	4.742811
5.375375	4.998314	4.747319
5.385385	4.994177	4.751671
5.395395	4.990178	4.755871
5.405405	4.986311	4.759925
5.415415	4.982572	4.763838
5.425425	4.978958	4.767615
5.435435	4.975464	4.771261
5.445445	4.972086	4.774781
5.455455	4.968821	4.778179
5.465465	4.965665	4.781459
5.475475	4.962614	4.784625
5.485485	4.959666	4.787682
5.495495	4.956815	4.790632
5.505506	4.954061	4.793481
5.515516	4.951399	4.796231
5.525526	4.948826	4.798885
5.535536	4.946340	4.801448
5.545546	4.943937	4.803922
5.555556	4.941615	4.806310
5.565566	4.939371	4.808616
5.575576	4.937204	4.810842
5.585586	4.935109	4.812991
5.595596	4.933085	4.815065
5.605606	4.931130	4.817067
5.615616	4.929241	4.819000
5.625626	4.927416	4.820866
5.635636	4.925654	4.822667
5.645646	4.923951	4.824405
5.655656	4.922306	4.826083
5.665666	4.920718	4.827703
5.675676	4.919183	4.829267
5.685686	4.917701	4.830775
5.695696	4.916271	4.832232
5.705706	4.914889	4.833637
5.715716	4.913555	4.834993
5.725726	4.912266	4.836302
5.735736	4.911023	4.837565
5.745746	4.909822	4.838784
5.755756	4.908663	4.839959
5.765766	4.907544	4.841094
5.775776	4.906465	4.842188
5.785786	4.905423	4.843243
5.795796	4.904418	4.844261
5.805806	4.903448	4.845243
5.815816	4.902512	4.846190
5.825826	4.901610	4.847103
5.835836	4.900739	4.847983
5.845846	4.899900	4.848831
5.855856	4.899090	4.849649
5.865866	4.898310	4.850437
5.875876	4.897558	4.851196
5.885886	4.896834	4.851927
5.895896	4.896136	4.852632
5.905906	4.895463	4.853310
5.915916	4.894816	4.853963
5.925926	4.894192	4.854592
5.935936	4.893592	4.855196
5.945946	4.893015	4.855778
5.955956	4.892460	4.856338
5.965966	4.891926	4.856876
5.975976	4.891413	4.857392
5.985986	4.890919	4.857889
5.995996	4.890446	4.858366
6.006006	4.889991	4.858823
6.016016	4.889555	4.859262
6.026026	4.889137	4.859683
6.036036	4.888736	4.860086
6.046046	4.888352	4.860472
6.056056	4.887985	4.860841
6.066066	4.887634	4.861195
6.076076	4.887298	4.861532
6.086086	4.886978	4.861854
6.096096	4.886673	4.862161
6.106106	4.886382	4.862453
6.116116	4.886105	4.862731
6.126126	4.885843	4.862995
6.136136	4.885593	4.863245
6.146146	4.885357	4.863482
6.156156	4.885134	4.863706
6.166166	4.884924	4.863918
6.176176	4.884726	4.864116
6.186186	4.884541	4.864303
6.196196	4.884367	4.864477
6.206206	4.884205	4.864639
6.216216	4.884055	4.864790
6.226226	4.883916	4.864929
6.236236	4.883789	4.865057
6.246246	4.883673	4.865174
6.256256	4.883567	4.865280
6.266266	4.883473	4.865375
6.276276	4.883389	4.865459
6.286286	4.883316	4.865532
6.296296	4.883254	4.865595
6.306306	4.883202	4.865647
6.316316	4.883160	4.865689
6.326326	4.883129	4.865720
6.336336	4.883108	4.865741
6.346346	4.883097	4.865752
6.356356	4.883097	4.865752
6.366366	4.883107	4.865742
6.376376	4.883128	4.865721
6.386386	4.883158	4.865690
6.396396	4.883199	4.865649
6.406406	4.883251	4.865598
6.416416	4.883313	4.865535
6.426426	4.883385	4.865463
6.436436	4.883469	4.865379
6.446446	4.883563	4.865285
6.456456	4.883667	4.865180
6.466466	4.883783	4.865063
6.476476	4.883910	4.864936
6.486486	4.884048	4.864797
6.496496	4.884198	4.864647
6.506507	4.884359	4.864485
6.516517	4.884532	4.864312
6.526527	4.884717	4.864126
6.536537	4.884914	4.863928
